classifiers,accuracy,presicion,recall,f1_score
LogisticRegression,0.49710172026925953,0.9744220737383206,0.49710172026925953,0.6494227641524529
KNeighbors,0.850130890052356,0.9742209781496967,0.850130890052356,0.9051760574858676
DecisionTree,0.956058339566193,0.9731712825578896,0.956058339566193,0.9641610812741317
RandomForest,0.9453066566940912,0.9722987735845228,0.9453066566940912,0.9580830271376484
XGBoost,0.9537210172026926,0.9727920404640402,0.9537210172026926,0.9627655640457186
CatBoost,0.9704562453253552,0.9747193417890697,0.9704562453253552,0.9725164060702822
